fecha,orden,grupo,centro_de_costo,capitulo,descripcion,unidad_funcional,proyecto,elemento,abs_inicial,abs_final,liberacion,acta,unidad_medida,largo,espesor,fc,cantidad,observacion,id_registro
2026-08-27,10,TIERRAS,3701.02.05,EXPLANACIONES,Excavaciones en material común APROVECHABLE,UF1,3701,tm2 pk 14+225 - 14+635,14225,14635,CAMPO,23,m3,120,1,1.3,92.3076923076923,,xls-4076
2026-08-27,30,DRENAJES Y ESTRUCTURAS,3701.06.01,DRENAJE TRANSVERSAL,Excavaciones varias sin clasicar,UF1,3701,ODT1-071,25699,25699,CAMPO,23,m3,2,1,1.3,1.5384615384615383,,xls-4077
2026-08-27,102,DRENAJES Y ESTRUCTURAS,3702.06.01,DRENAJE TRANSVERSAL,Excavaciones varias sin clasicar,UF2,3702,ODT2-029,35957,35957,CAMPO,23,m3,23,1,1.3,17.692307692307693,,xls-4078
2026-08-27,103,DRENAJES Y ESTRUCTURAS,3702.06.02,DRENAJE TRANSVERSAL,Rellenos con material seleccionado,UF2,3702,ODT2-029,35957,35957,CAMPO,23,m3,27.44,1,1.3,21.107692307692307,,xls-4079
2026-08-27,108,DRENAJES Y ESTRUCTURAS,3702.06.07,DRENAJE TRANSVERSAL,"Concreto clase 14 MPA (solados, estructuras)",UF2,3702,ODT2-029,35957,35957,CAMPO,23,m3,2.5,1,1,2.5,,xls-4080
2026-08-27,33,DRENAJES Y ESTRUCTURAS,3701.06.04,DRENAJE TRANSVERSAL,Acero de refuerzo Fy=420 Mpa.,UF1,3701,ODT1-047,20108,20108,CAMPO,23,kg,120,1,1,120,,xls-4081
2026-08-27,102,DRENAJES Y ESTRUCTURAS,3702.06.01,DRENAJE TRANSVERSAL,Excavaciones varias sin clasicar,UF2,3702,ODT2-044,39394,39394,CAMPO,23,m3,50,1,1.3,38.46153846153846,,xls-4082
2026-08-28,59,DRENAJES Y ESTRUCTURAS,3701.07.01,DRENAJE LONGITUDINAL,Excavaciones varias sin clasicar ODL,UF1,3701,tm2 pk 19+000 - 20+875,19000,20875,CAMPO,23,m3,4,1,1,4,,xls-4083
2026-08-28,106,DRENAJES Y ESTRUCTURAS,3702.06.05,DRENAJE TRANSVERSAL,Tubería de Concreto Reforzado de 900mm de diámetro interior (Tipo III),UF2,3702,ODT2-029,35957,35957,CAMPO,23,m,8,1,1,8,,xls-4084
2026-08-28,109,DRENAJES Y ESTRUCTURAS,3702.06.08,DRENAJE TRANSVERSAL,"Concreto clase 21 MPA (atraques, cabezales)",UF2,3702,ODT2-029,35957,35957,CAMPO,23,m3,3,1,1,3,,xls-4085
2026-08-28,30,DRENAJES Y ESTRUCTURAS,3701.06.01,DRENAJE TRANSVERSAL,Excavaciones varias sin clasicar,UF1,3701,ODT1-073,25888,25888,CAMPO,23,m3,2,1,1,2,,xls-4086
2026-08-28,33,DRENAJES Y ESTRUCTURAS,3701.06.04,DRENAJE TRANSVERSAL,Acero de refuerzo Fy=420 Mpa.,UF1,3701,ODT1-047,20108,20108,CAMPO,23,kg,60,1,1,60,,xls-4087
2026-08-28,105,DRENAJES Y ESTRUCTURAS,3702.06.04,DRENAJE TRANSVERSAL,Acero de refuerzo Fy=420 Mpa.,UF2,3702,ODT2-041,38344,38344,CAMPO,23,kg,50,1,1,50,,xls-4088
2026-08-28,105,DRENAJES Y ESTRUCTURAS,3702.06.04,DRENAJE TRANSVERSAL,Acero de refuerzo Fy=420 Mpa.,UF2,3702,ODT2-044,39394,39394,CAMPO,23,kg,100,1,1,100,,xls-4089
2026-08-29,59,DRENAJES Y ESTRUCTURAS,3701.07.01,DRENAJE LONGITUDINAL,Excavaciones varias sin clasicar ODL,UF1,3701,tm2 pk 19+000 - 20+875,19000,20875,CAMPO,23,m3,2,1,1,2,,xls-4090
2026-08-29,30,DRENAJES Y ESTRUCTURAS,3701.06.01,DRENAJE TRANSVERSAL,Excavaciones varias sin clasicar,UF1,3701,ODT1-071,25699,25699,CAMPO,23,m3,2,1,1,2,,xls-4091
2026-08-29,110,DRENAJES Y ESTRUCTURAS,3702.06.09,DRENAJE TRANSVERSAL,"Concreto clase  28 MPA (encoles, descoles, box, sumideros)",UF2,3702,ODT2-041,38344,38344,CAMPO,23,m3,7,1,1,7,,xls-4092
2026-08-29,105,DRENAJES Y ESTRUCTURAS,3702.06.04,DRENAJE TRANSVERSAL,Acero de refuerzo Fy=420 Mpa.,UF2,3702,ODT2-044,39394,39394,CAMPO,23,kg,100,1,1,100,,xls-4093
2026-08-31,59,DRENAJES Y ESTRUCTURAS,3701.07.01,DRENAJE LONGITUDINAL,Excavaciones varias sin clasicar ODL,UF1,3701,tm2 pk 19+000 - 20+875,19000,20875,CAMPO,23,m3,2,1,1,2,,xls-4094
2026-08-31,30,DRENAJES Y ESTRUCTURAS,3701.06.01,DRENAJE TRANSVERSAL,Excavaciones varias sin clasicar,UF1,3701,ODT1-071,25699,25699,CAMPO,23,m3,3,1,1,3,,xls-4095
2026-08-31,105,DRENAJES Y ESTRUCTURAS,3702.06.04,DRENAJE TRANSVERSAL,Acero de refuerzo Fy=420 Mpa.,UF2,3702,ODT2-044,39394,39394,CAMPO,23,kg,100,1,1,100,,xls-4096
2026-08-31,102,DRENAJES Y ESTRUCTURAS,3702.06.01,DRENAJE TRANSVERSAL,Excavaciones varias sin clasicar,UF2,3702,ODT2-041,38344,38344,CAMPO,23,m3,0.83,1,1,0.83,,xls-4097
2026-09-01,38,DRENAJES Y ESTRUCTURAS,3701.06.09,DRENAJE TRANSVERSAL,"Concreto clase  28 MPA (encoles, descoles, box, sumideros)",UF1,3701,ODT1-047,20108,20108,CAMPO,23,m3,6.2,1,1,6.2,,xls-4098
2026-09-01,111,DRENAJES Y ESTRUCTURAS,3702.06.10,DRENAJE TRANSVERSAL,Cinta pvc para juntas,UF2,3702,ODT2-044,39394,39394,CAMPO,23,m,37.14,1,1,37.14,,xls-4099
2026-09-01,110,DRENAJES Y ESTRUCTURAS,3702.06.09,DRENAJE TRANSVERSAL,"Concreto clase  28 MPA (encoles, descoles, box, sumideros)",UF2,3702,ODT2-044,39394,39394,CAMPO,23,m3,23,1,1,23,,xls-4100
2026-09-01,105,DRENAJES Y ESTRUCTURAS,3702.06.04,DRENAJE TRANSVERSAL,Acero de refuerzo Fy=420 Mpa.,UF2,3702,ODT2-044,39394,39394,CAMPO,23,kg,250,1,1,250,,xls-4101
2026-09-01,33,DRENAJES Y ESTRUCTURAS,3701.06.04,DRENAJE TRANSVERSAL,Acero de refuerzo Fy=420 Mpa.,UF1,3701,ODT1-071,25699,25699,CAMPO,23,kg,300,1,1,300,,xls-4102
2026-09-01,102,DRENAJES Y ESTRUCTURAS,3702.06.01,DRENAJE TRANSVERSAL,Excavaciones varias sin clasicar,UF2,3702,ODT2-032,36523,36523,CAMPO,23,m3,24,1,1,24,,xls-4103
2026-08-28,10,TIERRAS,3701.02.05,EXPLANACIONES,Excavaciones en material común APROVECHABLE,UF1,3701,tm2 pk 14+225 - 14+635,14225,14635,CAMPO,23,m3,154,1,1.3,118.46153846153845,[Clima: Soleado],xls-4104
2026-08-28,13,TIERRAS,3701.02.07,EXPLANACIONES,Terraplenes (solo conformación),UF1,3701,tm2 pk 14+225 - 14+635,14225,14635,CAMPO,23,m3,154,1,1.3,118.46153846153845,,xls-4105
2026-08-28,91,TIERRAS,3702.03.03,"BASES, SUBBASES Y AFIRMADOS ",Base granular estabilizada con cemento (No incluye cemento),UF2,3702,tm2 pk 36+555 - 37+080,36555,37080,CAMPO,23,m3,381.82,1,1.3,293.7076923076923,,xls-4106
2026-08-28,82,TIERRAS,3702.02.05,EXPLANACIONES,Excavaciones en material común APROVECHABLE,UF2,3702,tm2 pk 35+700 - 36+399,35700,36399,CAMPO,23,m3,28,1,1.3,21.538461538461537,,xls-4107
2026-08-28,13,TIERRAS,3701.02.07,EXPLANACIONES,Terraplenes (solo conformación),UF1,3701,tm2 pk 14+225 - 14+635,14225,14635,CAMPO,23,m3,28,1,1.3,21.538461538461537,,xls-4108
2026-08-28,10,TIERRAS,3701.02.05,EXPLANACIONES,Excavaciones en material común APROVECHABLE,UF1,3701,tm2 pk 19+000 - 20+875,19000,20875,CAMPO,23,m3,400.54,1,1.3,308.10769230769233,,xls-4109
2026-08-28,13,TIERRAS,3701.02.07,EXPLANACIONES,Terraplenes (solo conformación),UF1,3701,tm2 pk 20+875 - 22+650,20875,22650,CAMPO,23,m3,400.54,1,1.3,308.10769230769233,,xls-4110
2026-08-28,95,PAVIMENTOS,3702.04.01,PAVIMENTOS ASFALTICOS ,Riego de imprimación con emulsión asfáltica,UF2,3702,tm2 pk 36+555 - 37+080,36555,37080,CAMPO,23,m2,3600,1,1,3600,,xls-4111
2026-08-28,149,TIERRAS,3701.05.04,ESTRUCTURAS,Relleno para muros de tierra MSR,UF1,3701,MSR 14+300,14300,14500,CAMPO,23,M3,182,1,1,182,,xls-4112
2026-08-28,156,TIERRAS,3701.05.11,ESTRUCTURAS,Geobolsas de geotextil (propybag) MSR,UF1,3701,MSR 14+300,14300,14500,CAMPO,23,UND,320,1,1,320,,xls-4113
2026-08-29,90,TIERRAS,3702.03.01,"BASES, SUBBASES Y AFIRMADOS ",Subbase Granular,UF2,3702,tm2 pk 34+445 - 35+700,34445,35700,CAMPO,23,m3,119.72,1,1.3,92.09230769230768,[Clima: Soleado],xls-4114
2026-08-29,90,TIERRAS,3702.03.01,"BASES, SUBBASES Y AFIRMADOS ",Subbase Granular,UF2,3702,tm2 pk 39+200 - 39+560,39200,39560,CAMPO,23,m3,28.51,1,1.3,21.930769230769233,,xls-4115
2026-08-29,10,TIERRAS,3701.02.05,EXPLANACIONES,Excavaciones en material común APROVECHABLE,UF1,3701,tm2 pk 19+000 - 20+875,19000,20875,CAMPO,23,m3,719.8,1,1.3,553.6923076923076,,xls-4116
2026-08-29,13,TIERRAS,3701.02.07,EXPLANACIONES,Terraplenes (solo conformación),UF1,3701,tm2 pk 20+875 - 22+650,20875,22650,CAMPO,23,m3,402.2,1,1.3,309.38461538461536,,xls-4117
2026-08-29,13,TIERRAS,3701.02.07,EXPLANACIONES,Terraplenes (solo conformación),UF1,3701,tm2 pk 19+000 - 20+875,19000,20875,CAMPO,23,m3,317.6,1,1.3,244.30769230769232,,xls-4118
2026-08-29,149,TIERRAS,3701.05.04,ESTRUCTURAS,Relleno para muros de tierra MSR,UF1,3701,MSR 14+300,14300,14500,CAMPO,23,M3,28,1,1,28,,xls-4119
2026-08-29,156,TIERRAS,3701.05.11,ESTRUCTURAS,Geobolsas de geotextil (propybag) MSR,UF1,3701,MSR 14+300,14300,14500,CAMPO,23,UND,30,1,1,30,,xls-4120
2026-08-29,151,TIERRAS,3701.05.06,ESTRUCTURAS,Geomalla tejida uniaxial de 55 kn/m (método md),UF1,3701,MSR 14+300,14300,14500,CAMPO,23,M2,70.2,1,1,70.2,,xls-4121
2026-08-30,10,TIERRAS,3701.02.05,EXPLANACIONES,Excavaciones en material común APROVECHABLE,UF1,3701,tm2 pk 19+000 - 20+875,19000,20875,CAMPO,23,m3,1480.66,1,1.3,1138.9692307692308,[Clima: Soleado],xls-4122
2026-08-30,13,TIERRAS,3701.02.07,EXPLANACIONES,Terraplenes (solo conformación),UF1,3701,tm2 pk 20+875 - 22+650,20875,22650,CAMPO,23,m3,694,1,1.3,533.8461538461538,,xls-4123
2026-08-30,13,TIERRAS,3701.02.07,EXPLANACIONES,Terraplenes (solo conformación),UF1,3701,tm2 pk 19+000 - 20+875,19000,20875,CAMPO,23,m3,224,1,1.3,172.3076923076923,,xls-4124
2026-08-31,10,TIERRAS,3701.02.05,EXPLANACIONES,Excavaciones en material común APROVECHABLE,UF1,3701,tm2 pk 19+000 - 20+875,19000,20875,CAMPO,23,m3,894.2,1,1.3,687.8461538461538,[Clima: Soleado],xls-4125
2026-08-31,13,TIERRAS,3701.02.07,EXPLANACIONES,Terraplenes (solo conformación),UF1,3701,tm2 pk 20+875 - 22+650,20875,22650,CAMPO,23,m3,28,1,1.3,21.538461538461537,,xls-4126
2026-08-31,13,TIERRAS,3701.02.07,EXPLANACIONES,Terraplenes (solo conformación),UF1,3701,tm2 pk 20+875 - 22+650,20875,22650,CAMPO,23,m3,866.2,1,1.3,666.3076923076923,,xls-4127
2026-08-31,91,TIERRAS,3702.03.03,"BASES, SUBBASES Y AFIRMADOS ",Base granular estabilizada con cemento (No incluye cemento),UF2,3702,tm2 pk 34+445 - 35+700,34445,35700,CAMPO,23,m3,768.17,1,1.3,590.9,,xls-4128
2026-08-31,90,TIERRAS,3702.03.01,"BASES, SUBBASES Y AFIRMADOS ",Subbase Granular,UF2,3702,tm2 pk 39+200 - 39+560,39200,39560,CAMPO,23,m3,57.41,1,1.3,44.161538461538456,,xls-4129
2026-08-31,95,PAVIMENTOS,3702.04.01,PAVIMENTOS ASFALTICOS ,Riego de imprimación con emulsión asfáltica,UF2,3702,tm2 pk 36+555 - 37+080,36555,37080,CAMPO,23,m2,4140,1,1,4140,,xls-4130
2026-08-31,149,TIERRAS,3701.05.04,ESTRUCTURAS,Relleno para muros de tierra MSR,UF1,3701,MSR 14+300,14300,14500,CAMPO,23,M3,56,1,1,56,,xls-4131
2026-08-31,151,TIERRAS,3701.05.06,ESTRUCTURAS,Geomalla tejida uniaxial de 55 kn/m (método md),UF1,3701,MSR 14+300,14300,14500,CAMPO,23,M2,600.6,1,1,600.6,,xls-4132
2026-08-31,156,TIERRAS,3701.05.11,ESTRUCTURAS,Geobolsas de geotextil (propybag) MSR,UF1,3701,MSR 14+300,14300,14500,CAMPO,23,UND,230,1,1,230,,xls-4133
2026-08-31,147,TIERRAS,3701.05.02,ESTRUCTURAS,"Geodren planar h=0,5 m MSR",UF1,3701,MSR 14+300,14300,14500,CAMPO,23,M,50,1,1,50,,xls-4134
2026-09-02,59,DRENAJES Y ESTRUCTURAS,3701.07.01,DRENAJE LONGITUDINAL,Excavaciones varias sin clasicar ODL,UF1,3701,tm2 pk 19+000 - 20+875,19000,20875,CAMPO,23,m3,3,1,1,3,,xls-4135
2026-09-02,33,DRENAJES Y ESTRUCTURAS,3701.06.04,DRENAJE TRANSVERSAL,Acero de refuerzo Fy=420 Mpa.,UF1,3701,ODT1-047,20108,20108,CAMPO,23,kg,324.03,1,1,324.03,,xls-4136
2026-09-02,38,DRENAJES Y ESTRUCTURAS,3701.06.09,DRENAJE TRANSVERSAL,"Concreto clase  28 MPA (encoles, descoles, box, sumideros)",UF1,3701,ODT1-071,25699,25699,CAMPO,23,m3,9.5,1,1,9.5,,xls-4137
2026-09-02,30,DRENAJES Y ESTRUCTURAS,3701.06.01,DRENAJE TRANSVERSAL,Excavaciones varias sin clasicar,UF1,3701,ODT1-071,25699,25699,CAMPO,23,m3,2,1,1,2,,xls-4138
2026-09-02,108,DRENAJES Y ESTRUCTURAS,3702.06.07,DRENAJE TRANSVERSAL,"Concreto clase 14 MPA (solados, estructuras)",UF2,3702,ODT2-032,36523,36523,CAMPO,23,m3,8,1,1,8,,xls-4139
2026-09-02,102,DRENAJES Y ESTRUCTURAS,3702.06.01,DRENAJE TRANSVERSAL,Excavaciones varias sin clasicar,UF2,3702,ODT2-031,36536,36536,CAMPO,23,m3,144,1,1,144,,xls-4140
2026-09-02,105,DRENAJES Y ESTRUCTURAS,3702.06.04,DRENAJE TRANSVERSAL,Acero de refuerzo Fy=420 Mpa.,UF2,3702,ODT2-044,39394,39394,CAMPO,23,kg,300,1,1,300,,xls-4141
2026-09-01,91,TIERRAS,3702.03.03,"BASES, SUBBASES Y AFIRMADOS ",Base granular estabilizada con cemento (No incluye cemento),UF2,3702,tm2 pk 34+445 - 35+700,34445,35700,CAMPO,23,m3,544.87,1,1.3,419.1307692307692,[Clima: Soleado],xls-4142
2026-09-01,156,TIERRAS,3701.05.11,ESTRUCTURAS,Geobolsas de geotextil (propybag) MSR,UF1,3701,MSR 14+300,14300,14500,CAMPO,23,UND,150,1,1,150,,xls-4143
2026-09-01,149,TIERRAS,3701.05.04,ESTRUCTURAS,Relleno para muros de tierra MSR,UF1,3701,MSR 14+300,14300,14500,CAMPO,23,M3,168,1,1,168,,xls-4144
2026-09-01,13,TIERRAS,3701.02.07,EXPLANACIONES,Terraplenes (solo conformación),UF1,3701,tm2 pk 14+225 - 14+635,14225,14635,CAMPO,23,m3,84,1,1.3,64.61538461538461,,xls-4145
2026-09-01,147,TIERRAS,3701.05.02,ESTRUCTURAS,"Geodren planar h=0,5 m MSR",UF1,3701,MSR 14+300,14300,14500,CAMPO,23,M,50,1,1,50,,xls-4146
2026-09-01,10,TIERRAS,3701.02.05,EXPLANACIONES,Excavaciones en material común APROVECHABLE,UF1,3701,tm2 pk 14+225 - 14+635,14225,14635,CAMPO,23,m3,238,1,1.3,183.07692307692307,,xls-4147
2026-09-01,80,TIERRAS,3702.02.03,EXPLANACIONES,Desmonte y limpieza en zonas no boscosas,UF2,3702,tm2 pk 38+864 - 39+200,38864,39200,CAMPO,23,Ha,5406,0.0001,1,0.5406000000000001,,xls-4148
2026-09-01,82,TIERRAS,3702.02.05,EXPLANACIONES,Excavaciones en material común NO APROVECHABLE,UF2,3702,tm2 pk 38+864 - 39+200,38864,39200,CAMPO,23,m3,1281.28,1,1.3,985.5999999999999,,xls-4149
2026-09-01,86,TIERRAS,3702.02.08,EXPLANACIONES,Conformación y disposición de sobrantes (incluye obras de adecuación),UF2,3702,ZODME PK30,30000,30000,CAMPO,23,m3,912,1,1.3,701.5384615384615,,xls-4150
2026-09-01,18,TIERRAS,3701.03.01,"BASES, SUBBASES Y AFIRMADOS ",Subbase Granular,UF1,3701,tm2 pk 19+000 - 20+875,19000,20875,CAMPO,23,m3,224,1,1.3,172.3076923076923,,xls-4151
2026-09-02,10,TIERRAS,3701.02.05,EXPLANACIONES,Excavaciones en material común APROVECHABLE,UF1,3701,tm2 pk 14+225 - 14+635,14225,14635,CAMPO,23,m3,1043.34,1,1.3,802.5692307692307,[Clima: Lluvias parciales],xls-4152
2026-09-02,85,TIERRAS,3702.02.07,EXPLANACIONES,Terraplenes (solo conformación),UF2,3702,tm2 pk 36+399 - 36+555,36399,36555,CAMPO,23,m3,84,1,1.3,64.61538461538461,,xls-4153
2026-09-02,85,TIERRAS,3702.02.07,EXPLANACIONES,Terraplenes (solo conformación),UF2,3702,tm2 pk 38+864 - 39+200,38864,39200,CAMPO,23,m3,764.139999999999,1,1.3,587.7999999999992,,xls-4154
2026-09-02,18,TIERRAS,3701.03.01,"BASES, SUBBASES Y AFIRMADOS ",Subbase Granular,UF1,3701,tm2 pk 19+000 - 20+875,19000,20875,CAMPO,23,m3,328.84000000000003,1,1.3,252.95384615384617,,xls-4155
2026-09-02,95,PAVIMENTOS,3702.04.01,PAVIMENTOS ASFALTICOS ,Riego de imprimación con emulsión asfáltica,UF2,3702,tm2 pk 34+445 - 35+700,34445,35700,CAMPO,23,m2,3720,1,1,3720,,xls-4156
2026-09-02,149,TIERRAS,3701.05.04,ESTRUCTURAS,Relleno para muros de tierra MSR,UF1,3701,MSR 14+300,14300,14500,CAMPO,23,M3,196,1,1,196,,xls-4157
2026-09-02,156,TIERRAS,3701.05.11,ESTRUCTURAS,Geobolsas de geotextil (propybag) MSR,UF1,3701,MSR 14+300,14300,14500,CAMPO,23,UND,80,1,1,80,,xls-4158
2026-09-02,153,TIERRAS,3701.05.08,ESTRUCTURAS,Geotextil tejido uniaxial de 1480 n (método grab md),UF1,3701,MSR 14+300,14300,14500,CAMPO,23,M2,78,1,1,78,,xls-4159
2026-09-02,90,TIERRAS,3702.03.01,"BASES, SUBBASES Y AFIRMADOS ",Subbase Granular,UF2,3702,tm2 pk 38+064 - 38+864,38064,38864,CAMPO,23,m3,342.49,1,1.3,263.45384615384614,,xls-4160
2026-09-03,59,DRENAJES Y ESTRUCTURAS,3701.07.01,DRENAJE LONGITUDINAL,Excavaciones varias sin clasicar ODL,UF1,3701,tm2 pk 19+000 - 20+875,19000,20875,CAMPO,23,m3,3,1,1,3,[Clima: Soleado],xls-4161
2026-09-03,33,DRENAJES Y ESTRUCTURAS,3701.06.04,DRENAJE TRANSVERSAL,Acero de refuerzo Fy=420 Mpa.,UF1,3701,ODT1-071,25699,25699,CAMPO,23,kg,500,1,1,500,,xls-4162
2026-09-03,30,DRENAJES Y ESTRUCTURAS,3701.06.01,DRENAJE TRANSVERSAL,Excavaciones varias sin clasicar,UF1,3701,ODT1-071,25699,25699,CAMPO,23,m3,15,1,1,15,,xls-4163
2026-09-03,36,DRENAJES Y ESTRUCTURAS,3701.06.07,DRENAJE TRANSVERSAL,"Concreto clase 14 MPA (solados, estructuras)",UF1,3701,ODT1-071,25699,25699,CAMPO,23,m3,3,1,1,3,,xls-4164
2026-09-03,103,DRENAJES Y ESTRUCTURAS,3702.06.02,DRENAJE TRANSVERSAL,Rellenos con material seleccionado,UF2,3702,ODT2-031,36536,36536,CAMPO,23,m3,46.77,1,1,46.77,,xls-4165
2026-09-03,106,DRENAJES Y ESTRUCTURAS,3702.06.05,DRENAJE TRANSVERSAL,Tubería de Concreto Reforzado de 900mm de diámetro interior (Tipo III),UF2,3702,ODT2-032,36523,36523,CAMPO,23,m,21,1,1,21,,xls-4166
2026-09-03,105,DRENAJES Y ESTRUCTURAS,3702.06.04,DRENAJE TRANSVERSAL,Acero de refuerzo Fy=420 Mpa.,UF2,3702,ODT2-044,39394,39394,CAMPO,23,kg,150,1,1,150,,xls-4167
2026-09-03,33,DRENAJES Y ESTRUCTURAS,3701.06.04,DRENAJE TRANSVERSAL,Acero de refuerzo Fy=420 Mpa.,UF1,3701,ODT1-043B,19362,19362,CAMPO,23,kg,150,1,1,150,,xls-4168
2026-09-03,33,DRENAJES Y ESTRUCTURAS,3701.06.04,DRENAJE TRANSVERSAL,Acero de refuerzo Fy=420 Mpa.,UF1,3701,ODT1-047,20108,20108,CAMPO,23,kg,120.3,1,1,120.3,,xls-4169
2026-09-04,33,DRENAJES Y ESTRUCTURAS,3701.06.04,DRENAJE TRANSVERSAL,Acero de refuerzo Fy=420 Mpa.,UF1,3701,ODT1-071,25699,25699,CAMPO,23,kg,300,1,1,300,,xls-4170
2026-09-04,30,DRENAJES Y ESTRUCTURAS,3701.06.01,DRENAJE TRANSVERSAL,Excavaciones varias sin clasicar,UF1,3701,ODT1-071,25699,25699,CAMPO,23,m3,1.5,1,1,1.5,,xls-4171
2026-09-04,108,DRENAJES Y ESTRUCTURAS,3702.06.07,DRENAJE TRANSVERSAL,"Concreto clase 14 MPA (solados, estructuras)",UF2,3702,ODT2-031,36536,36536,CAMPO,23,m3,9,1,1,9,,xls-4172
2026-09-04,109,DRENAJES Y ESTRUCTURAS,3702.06.08,DRENAJE TRANSVERSAL,"Concreto clase 21 MPA (atraques, cabezales)",UF2,3702,ODT2-032,36523,36523,CAMPO,23,m3,4,1,1,4,,xls-4173
